iter	RMSE
0	0.6453381154
1	0.5909501324
2	0.5525098147
3	0.5257517849
4	0.5063914972
5	0.492560569
6	0.4822435861
7	0.4726653585
8	0.4653542289
9	0.4609322687
10	0.4577357841
11	0.4536357999
12	0.4503740985
13	0.447660698
14	0.4454072862
15	0.4434468899
16	0.4419832892
17	0.4404591251
18	0.4394636151
19	0.4384670118
20	0.4369929707
21	0.435651376
22	0.4349357914
23	0.4340022137
24	0.4331719005
25	0.4322145312
26	0.4310155276
27	0.4303157028
28	0.429948736
29	0.4292464245
30	0.4284879455
31	0.4281786495
32	0.4278300526
33	0.4276066735
34	0.426685373
35	0.4258953443
36	0.4253574869
37	0.4249445745
38	0.4243485807
39	0.4241008457
40	0.4238495486
41	0.4236148588
42	0.4233132315
43	0.4227357834
44	0.4222415629
45	0.4219037581
46	0.4214762882
47	0.4212405734
48	0.4208417068
49	0.4205927494
50	0.4203555764
51	0.4200315165
52	0.4196885678
53	0.4194966846
54	0.4192816004
55	0.4186966537
56	0.4183314247
57	0.417967959
58	0.4177720331
59	0.4175755833
60	0.4171410509
61	0.4168807441
62	0.4165190786
63	0.4163385037
64	0.4159295908
65	0.4157033603
66	0.4154764841
67	0.4151299433
68	0.4148848793
69	0.4146070422
70	0.4143423035
71	0.4140793586
72	0.4139008444
73	0.4134372044
74	0.4132178905
75	0.4130026714
76	0.4127968814
77	0.4126395867
78	0.4124887844
79	0.4123431799
80	0.4120154696
81	0.4117998207
82	0.411634125
83	0.4115152881
84	0.4114282259
85	0.4112616672
86	0.4111284129
87	0.4109777457
88	0.4108108362
89	0.410687859
90	0.4105133727
91	0.4103190461
92	0.410191411
93	0.4099952997
94	0.4098157521
95	0.409665976
96	0.4095262383
97	0.4094233095
98	0.409286806
99	0.4091550937
100	0.4090394037
101	0.4088588491
102	0.4086462009
103	0.4083924961
104	0.4082312816
105	0.4081609686
106	0.4080256073
107	0.4079256713
108	0.4078226062
109	0.4076930371
110	0.4075906119
111	0.4074780523
112	0.4073482626
113	0.4071940312
114	0.4070704767
115	0.4067713842
116	0.4067137844
117	0.4065965735
118	0.406495518
119	0.4062884766
120	0.4061794958
121	0.4060912263
122	0.405983023
123	0.4057978642
124	0.4056011438
125	0.4053450924
126	0.4051392023
127	0.4050138237
128	0.4048845489
129	0.4046889557
130	0.4046281101
131	0.4044958439
132	0.4043715213
133	0.4042230114
134	0.404131476
135	0.4040337082
136	0.4038801266
137	0.403807688
138	0.4037239424
139	0.4036192199
140	0.4035095359
141	0.4033404481
142	0.403232302
143	0.4031080572
144	0.4029947028
145	0.4028957323
146	0.4028059858
147	0.4027096398
148	0.4026242687
149	0.4025353579
150	0.402433648
151	0.4023930641
152	0.4022554634
153	0.40215796
154	0.4020906141
155	0.4019743162
156	0.4019115911
157	0.4018165942
158	0.4017112886
159	0.4015745422
160	0.4014973823
161	0.401427888
162	0.4013320701
163	0.4012305194
164	0.401153755
165	0.4010849126
166	0.4010000941
167	0.4008976665
168	0.4007367456
169	0.4006331365
170	0.4004829836
171	0.400396682
172	0.4002901202
173	0.4001746677
174	0.4000665175
175	0.3999956724
176	0.3998958375
177	0.3998373417
178	0.3997100927
179	0.3995874088
180	0.3994939895
181	0.3993453113
182	0.3992317477
183	0.3991245173
184	0.3990685578
185	0.3989860576
186	0.3989345705
187	0.3988355158
188	0.3987774064
189	0.3986536155
190	0.3985312493
191	0.398489918
192	0.3983750173
193	0.3982605129
194	0.3981960572
195	0.3980927721
196	0.3980014022
197	0.3979506203
198	0.3978375219
199	0.3977270246
200	0.3976880344
201	0.3975988975
202	0.39737622
203	0.3972610657
204	0.3971665342
205	0.3971173785
206	0.3970159015
207	0.3969593303
208	0.3968812337
209	0.3968175404
210	0.3967307547
211	0.3966607616
212	0.396552794
213	0.3964949923
214	0.3964220697
215	0.3963680407
216	0.3962920639
217	0.3962448033
218	0.396195072
219	0.3961188114
220	0.3960283567
221	0.3959596253
222	0.3958636724
223	0.3957696151
224	0.3956575856
225	0.395611728
226	0.3954529916
227	0.3953648321
228	0.3953131205
229	0.3952404135
230	0.3951485126
231	0.395101615
232	0.3950582803
233	0.3949673289
234	0.3948266535
235	0.3947889235
236	0.3947279701
237	0.3946430793
238	0.3945631439
239	0.3944710277
240	0.3944141658
241	0.3943602961
242	0.3942787682
243	0.3942050188
244	0.3941536702
245	0.3940723805
246	0.3939146811
247	0.3938621753
248	0.3937890446
249	0.3937056806
250	0.3936432569
251	0.3935018801
252	0.3934292489
253	0.3933370847
254	0.3932197431
255	0.3931522749
256	0.3930693258
257	0.3929956951
258	0.392928352
259	0.3928613346
260	0.3928264951
261	0.3927638669
262	0.3926447611
263	0.3925918615
264	0.3925194872
265	0.3924909545
266	0.3924267634
267	0.3923624713
268	0.392317424
269	0.3922555225
270	0.3921718746
271	0.3921186142
272	0.3920700117
273	0.3920187256
274	0.3919468632
275	0.391896311
276	0.3918512485
277	0.3918091924
278	0.391677988
279	0.3915938956
280	0.3915442993
281	0.3914807228
282	0.3913820566
283	0.39131857
284	0.3911867905
285	0.3911051433
286	0.3910490039
287	0.3909444092
288	0.3908436739
289	0.3907938001
290	0.3907348779
291	0.3907218995
292	0.390624221
293	0.3905666996
294	0.3905000423
295	0.3904297559
296	0.3903413059
297	0.3902949497
298	0.3902540265
299	0.3901920533
