iter	Passed	Remaining
0	21	6440
1	39	5853
2	57	5697
3	86	6366
4	102	6075
5	119	5851
6	134	5640
7	152	5570
8	169	5466
9	184	5351
10	200	5277
11	217	5214
12	232	5128
13	248	5078
14	266	5063
15	282	5006
16	298	4973
17	317	4969
18	335	4965
19	354	4959
20	371	4931
21	387	4898
22	404	4867
23	421	4846
24	435	4794
25	454	4792
26	473	4788
27	489	4752
28	502	4694
29	517	4653
30	535	4650
31	551	4615
32	566	4585
33	583	4568
34	598	4533
35	620	4549
36	638	4536
37	666	4592
38	684	4580
39	704	4580
40	723	4572
41	745	4578
42	842	5036
43	862	5015
44	886	5023
45	907	5012
46	931	5015
47	954	5010
48	979	5017
49	999	4999
50	1021	4985
51	1046	4993
52	1079	5029
53	1107	5044
54	1134	5051
55	1157	5045
56	1179	5029
57	1200	5009
58	1221	4990
59	1245	4983
60	1269	4975
61	1293	4965
62	1315	4950
63	1335	4925
64	1360	4918
65	1379	4891
66	1398	4861
67	1417	4834
68	1436	4810
69	1453	4776
70	1472	4749
71	1489	4715
72	1508	4690
73	1525	4660
74	1540	4620
75	1553	4579
76	1570	4547
77	1585	4512
78	1600	4477
79	1618	4449
80	1635	4421
81	1648	4383
82	1665	4353
83	1680	4320
84	1695	4289
85	1711	4258
86	1725	4223
87	1740	4193
88	1758	4169
89	1772	4134
90	1788	4107
91	1805	4081
92	1820	4051
93	1836	4024
94	1853	4000
95	1867	3968
96	1883	3941
97	1898	3914
98	1913	3884
99	1931	3863
100	1947	3837
101	1966	3816
102	1982	3791
103	2001	3771
104	2020	3752
105	2040	3734
106	2062	3719
107	2080	3698
108	2100	3681
109	2121	3664
110	2145	3652
111	2169	3642
112	2192	3628
113	2215	3615
114	2236	3598
115	2256	3579
116	2276	3560
117	2295	3540
118	2316	3524
119	2338	3507
120	2365	3499
121	2383	3478
122	2407	3463
123	2427	3445
124	2448	3427
125	2469	3410
126	2486	3387
127	2505	3366
128	2524	3346
129	2540	3321
130	2557	3299
131	2574	3276
132	2590	3253
133	2606	3228
134	2622	3205
135	2642	3185
136	2660	3165
137	2677	3142
138	2692	3118
139	2709	3096
140	2726	3075
141	2741	3050
142	2757	3027
143	2775	3006
144	2790	2982
145	2807	2961
146	2823	2939
147	2839	2916
148	2855	2894
149	2871	2871
150	2885	2846
151	2902	2826
152	2918	2803
153	2935	2782
154	2952	2761
155	2969	2741
156	2986	2720
157	3001	2697
158	3017	2675
159	3032	2653
160	3048	2631
161	3063	2609
162	3083	2591
163	3098	2569
164	3112	2546
165	3128	2525
166	3145	2505
167	3159	2482
168	3174	2460
169	3190	2440
170	3207	2419
171	3224	2399
172	3241	2379
173	3255	2357
174	3273	2338
175	3293	2320
176	3311	2301
177	3329	2282
178	3345	2261
179	3363	2242
180	3379	2222
181	3395	2201
182	3412	2181
183	3429	2161
184	3446	2142
185	3463	2122
186	3481	2103
187	3497	2083
188	3514	2063
189	3529	2043
190	3546	2023
191	3562	2003
192	3578	1983
193	3595	1964
194	3612	1944
195	3630	1926
196	3645	1906
197	3663	1887
198	3679	1867
199	3694	1847
200	3709	1827
201	3723	1806
202	3739	1786
203	3753	1766
204	3770	1747
205	3784	1726
206	3800	1707
207	3816	1688
208	3833	1669
209	3851	1650
210	3870	1632
211	3889	1614
212	3905	1595
213	3923	1576
214	3940	1557
215	3957	1538
216	3976	1520
217	3993	1502
218	4010	1483
219	4028	1464
220	4045	1446
221	4061	1427
222	4077	1407
223	4095	1389
224	4114	1371
225	4129	1352
226	4147	1333
227	4165	1315
228	4183	1297
229	4200	1278
230	4216	1259
231	4232	1240
232	4249	1221
233	4264	1202
234	4284	1185
235	4301	1166
236	4318	1148
237	4334	1129
238	4351	1110
239	4368	1092
240	4384	1073
241	4401	1054
242	4419	1036
243	4437	1018
244	4452	999
245	4468	980
246	4484	962
247	4498	943
248	4515	924
249	4528	905
250	4545	887
251	4561	868
252	4580	850
253	4596	832
254	4613	814
255	4629	795
256	4643	776
257	4661	758
258	4679	740
259	4699	723
260	4718	705
261	4736	686
262	4760	669
263	4779	651
264	4799	633
265	4815	615
266	4833	597
267	4853	579
268	4873	561
269	4890	543
270	4915	525
271	4932	507
272	4952	489
273	4976	472
274	5000	454
275	5022	436
276	5043	418
277	5065	400
278	5084	382
279	5107	364
280	5132	347
281	5153	328
282	5173	310
283	5193	292
284	5213	274
285	5233	256
286	5251	237
287	5270	219
288	5288	201
289	5308	183
290	5325	164
291	5344	146
292	5362	128
293	5378	109
294	5395	91
295	5413	73
296	5428	54
297	5444	36
298	5461	18
299	5477	0
